N,P,K,temperature,humidity,ph,rainfall,soil_type,season,region,irrigation,fertilizer,label
61,52,41,24.97669518,83.891805,6.880431223,204.8001847,Clay,Rainy,North,Rainfed,Organic,Banana
67,45,38,22.72791041,82.1706881,7.300410836,260.8875056,Clay,Summer,West,Canal,Mixed,Potato
79,42,37,24.87300744,82.84022551,6.587918708,295.6094492,Loamy,Rainy,East,Drip,Organic,Tomato
78,43,42,21.32376327,83.00320459,7.283736617,192.3197536,Clay,Rainy,North,Drip,Organic,Turmeric
75,54,36,26.29465461,84.56919326,7.023936392,257.4914906,Loamy,Summer,North,Rainfed,Mixed,Maize
97,36,45,22.2286982,81.85872947,6.939083505,278.0791793,Clay,Summer,East,Canal,Chemical,Cardamom
67,47,44,26.73072391,81.78596776,7.868474653,280.4044392,Silty,Rainy,East,Rainfed,Mixed,Groundnut
73,35,38,24.88921174,81.97927117,5.005306977,185.9461429,Silty,Summer,North,Canal,Organic,Turmeric
77,36,37,26.88444878,81.46033732,6.136131869,194.5766559,Sandy,Summer,East,Canal,Mixed,Pineapple
81,41,38,22.67846116,83.72874389,7.524080076,200.9133156,Silty,Summer,South,Canal,Chemical,Groundnut
68,57,43,26.08867875,80.37979919,5.706943251,182.9043504,Sandy,Winter,West,Canal,Mixed,Tea
72,45,35,25.42977518,82.94682591,5.758506323,195.3574542,Silty,Rainy,West,Drip,Organic,Potato
61,53,43,26.40323239,81.05635517,6.349606327,223.3671883,Loamy,Rainy,West,Canal,Organic,Potato
67,43,39,26.04371967,84.96907151,5.999969026,186.7536773,Silty,Winter,South,Canal,Mixed,Mango
67,58,39,25.2827223,80.54372813,5.453592032,220.1156708,Sandy,Rainy,East,Rainfed,Chemical,Grapes
66,60,38,22.08576562,83.47038318,6.372576327,231.7364957,Sandy,Summer,East,Rainfed,Mixed,Jute
82,43,38,23.28617173,81.43321641,5.105588355,242.3170629,Clay,Rainy,North,Drip,Chemical,Pineapple
84,50,44,25.48591986,81.40633547,5.935344406,182.6549356,Loamy,Summer,East,Rainfed,Chemical,Maize
81,53,42,23.67575393,81.03569343,5.17782304,233.7034975,Silty,Winter,North,Canal,Mixed,Millet
91,50,40,20.82477109,84.1341879,6.462391607,230.2242223,Clay,Summer,South,Rainfed,Chemical,Banana
93,53,38,26.92995077,81.91411159,7.069172227,290.6793783,Silty,Rainy,West,Drip,Organic,Turmeric
90,44,38,23.83509503,83.88387074,7.473134377,241.2013513,Silty,Rainy,West,Rainfed,Mixed,Pepper
81,45,35,26.52872817,80.12267476,6.158376967,218.9163567,Clay,Rainy,West,Rainfed,Chemical,Soybean
78,40,38,26.46428311,83.85642678,7.549873681,248.2256491,Clay,Winter,East,Drip,Organic,Cardamom
60,51,36,22.69657794,82.81088865,6.028321558,256.9964761,Clay,Winter,North,Drip,Mixed,Groundnut
88,46,42,22.68319059,83.46358271,6.604993475,194.2651719,Clay,Rainy,North,Canal,Organic,Cardamom
93,47,37,21.53346343,82.14004101,6.500343222,295.9248796,Clay,Summer,South,Rainfed,Organic,Apple
60,55,45,21.40865769,83.3293191,5.935745417,287.5766935,Silty,Winter,East,Canal,Organic,Jute
78,35,44,26.54348085,84.67353597,7.072655622,183.6222657,Clay,Rainy,South,Rainfed,Chemical,Pineapple
65,37,40,23.35905428,83.59512273,5.333322606,188.413665,Loamy,Rainy,North,Rainfed,Mixed,Coconut
71,54,16,22.61359953,63.69070564,5.749914421,87.75953857,Sandy,Winter,North,Canal,Mixed,Mustard
61,44,17,26.10018422,71.57476937,6.931756558,102.2662445,Clay,Winter,West,Rainfed,Chemical,Sunflower
80,43,16,23.55882094,71.59351368,6.657964753,66.71995467,Clay,Winter,East,Rainfed,Mixed,Pulses
73,58,21,19.97215954,57.68272924,6.596060648,60.65171481,Silty,Summer,North,Rainfed,Organic,Mustard
61,38,20,18.47891261,62.69503871,5.970458434,65.43835393,Clay,Summer,West,Drip,Mixed,Chickpea
68,41,16,21.77689322,57.80840636,6.158830619,102.0861694,Clay,Rainy,East,Canal,Chemical,Groundnut
93,41,17,25.6217169,66.50415474,6.047906679,105.4654703,Clay,Winter,South,Drip,Organic,Apple
89,60,19,25.19192419,66.6902901,5.913664501,78.06639649,Silty,Summer,East,Canal,Chemical,Chickpea
76,44,17,20.41683147,62.5542482,5.855442401,65.27798457,Clay,Winter,East,Canal,Organic,Mustard
67,60,25,24.92162194,66.78627406,5.750254943,109.2162279,Sandy,Rainy,North,Rainfed,Organic,Coffee
70,44,19,23.31689124,73.4541537,5.852607099,94.29712821,Silty,Summer,North,Canal,Mixed,Tea
90,49,21,24.84016732,68.3584573,6.472523287,74.05474936,Sandy,Summer,East,Drip,Organic,Grapes
62,52,16,22.27526694,58.84015925,6.967057762,63.87020584,Silty,Summer,North,Drip,Chemical,Tomato
92,44,16,18.87751445,65.76816093,6.082973754,94.76189431,Clay,Rainy,North,Drip,Mixed,Potato
66,54,21,25.19008683,60.2001687,5.919045532,72.12375573,Sandy,Winter,North,Canal,Chemical,Coffee
63,58,22,18.25405352,55.28220433,6.204747653,63.72358154,Silty,Summer,West,Drip,Organic,Pineapple
70,47,17,24.6129118,70.4162444,6.600827017,104.1626147,Loamy,Rainy,West,Canal,Chemical,Pineapple
61,41,17,25.1420613,65.26185135,6.021902237,76.68456006,Clay,Winter,East,Drip,Chemical,Maize
66,53,19,23.09348056,60.1159381,6.033550195,65.49730729,Silty,Rainy,North,Drip,Organic,Mustard
74,55,19,18.05033737,62.89366992,6.28886807,84.23613484,Loamy,Winter,West,Canal,Mixed,Banana
77,57,21,24.9321581,73.80435276,6.550563823,79.74078719,Silty,Rainy,East,Drip,Chemical,Tomato
99,50,15,18.14710054,71.09445342,5.573286437,88.07753741,Loamy,Winter,North,Rainfed,Organic,Sugarcane
74,56,22,18.28362235,66.65952796,6.829199275,80.97573281,Clay,Summer,South,Canal,Mixed,Groundnut
83,45,21,18.83344471,58.75082029,5.716222912,79.7532896,Sandy,Winter,North,Canal,Mixed,Pulses
100,48,16,25.71895816,67.22190688,5.54990242,74.51490791,Loamy,Rainy,North,Canal,Mixed,Coconut
79,51,16,25.33797709,68.49835977,6.586244581,96.46380213,Silty,Rainy,West,Rainfed,Chemical,Maize
94,39,18,23.89114571,57.48775781,5.893093135,102.8301942,Clay,Winter,East,Canal,Chemical,Mango
75,49,15,21.53574127,71.50905983,5.918263801,102.4852929,Loamy,Summer,East,Drip,Chemical,Maize
78,48,22,23.08974909,63.10459626,5.588650585,70.43473609,Silty,Summer,West,Drip,Mixed,Pulses
87,54,20,25.61707368,63.4711755,6.576418207,108.8303762,Silty,Winter,North,Drip,Chemical,Soybean
87,35,25,21.44526922,63.1621551,6.178056304,65.88951188,Silty,Winter,South,Canal,Organic,Banana
63,43,19,18.51816776,55.53128131,6.641906353,90.988051,Loamy,Rainy,North,Drip,Chemical,Pepper
84,57,25,22.53510514,67.99257471,6.489040367,64.40866039,Loamy,Summer,North,Canal,Chemical,Maize
64,35,23,23.02038334,61.89472002,5.680361038,63.03843397,Loamy,Winter,South,Drip,Mixed,Sunflower
60,46,22,24.89364635,65.61418761,6.625404348,87.9298085,Sandy,Summer,West,Rainfed,Chemical,Banana
98,44,21,25.77175115,74.089114,6.524478032,107.4931917,Loamy,Winter,East,Rainfed,Organic,Tea
75,56,18,19.39851734,62.35750641,5.696205468,60.95197486,Loamy,Winter,West,Rainfed,Mixed,Barley
86,55,21,21.54156232,59.64024162,6.803931519,109.7515385,Loamy,Summer,West,Rainfed,Organic,Maize
98,35,18,23.79746068,74.82913698,6.252797548,91.76337172,Sandy,Winter,North,Canal,Mixed,Potato
76,57,18,18.9802729,74.52600826,6.092725883,94.26249353,Loamy,Winter,East,Drip,Mixed,Millet
99,56,17,24.10859207,73.13112261,6.234330356,71.07562236,Silty,Rainy,East,Rainfed,Chemical,Orange
60,44,23,24.7947077,70.04556743,5.722579819,76.72860067,Loamy,Winter,West,Canal,Organic,Mustard
74,48,17,21.63162756,60.27766379,6.430616465,69.21803098,Silty,Winter,South,Rainfed,Mixed,Cabbage
89,60,17,25.37548751,57.21025565,5.983952675,101.7004306,Silty,Winter,West,Rainfed,Chemical,Rice
69,51,23,22.21738222,72.85462807,6.80163854,106.6213157,Silty,Rainy,South,Canal,Mixed,Maize
96,46,22,20.58314011,69.00128641,6.499936446,66.29390357,Sandy,Summer,East,Canal,Mixed,Cabbage
61,60,15,24.87502824,68.74248334,6.265564338,91.26056654,Sandy,Rainy,West,Drip,Mixed,Banana
74,58,18,20.03728219,56.35606753,6.727303282,109.024141,Sandy,Rainy,North,Drip,Mixed,Chickpea
74,43,23,25.95263264,61.89082199,6.325235159,99.57981207,Loamy,Summer,West,Rainfed,Mixed,Maize
63,43,17,19.28889933,65.47050802,6.807487794,71.3195307,Silty,Rainy,East,Rainfed,Mixed,Cotton
99,36,20,20.57981887,65.34583901,6.671085817,78.34604471,Sandy,Summer,North,Drip,Chemical,Banana
77,36,23,24.71417533,56.73426469,6.648725327,88.45361858,Sandy,Rainy,North,Drip,Mixed,Onion
87,60,23,20.27317074,63.91281869,6.439071996,62.50351892,Loamy,Summer,South,Canal,Organic,Maize
60,38,17,18.41932981,64.23580251,6.474476516,76.41312437,Sandy,Winter,North,Drip,Chemical,Potato
94,54,17,23.39128187,61.74427165,5.871647806,107.3198135,Loamy,Rainy,North,Drip,Organic,Rice
95,38,22,19.84939404,61.24500053,5.730617109,100.7689246,Clay,Rainy,West,Rainfed,Mixed,Coconut
84,44,21,21.869274,61.91044947,5.850439831,107.2681929,Sandy,Rainy,East,Drip,Organic,Mustard
77,58,19,22.8056033,56.50768935,5.791649933,101.5952794,Clay,Rainy,South,Rainfed,Mixed,Groundnut
66,44,20,19.0781471,69.02298571,6.740000688,80.72515943,Loamy,Winter,West,Drip,Mixed,Potato
63,35,16,22.02720976,65.35549924,6.272417541,83.73280082,Silty,Rainy,North,Canal,Chemical,Chickpea
79,45,20,23.80546189,59.24537979,5.715208817,89.9622014,Sandy,Winter,North,Drip,Chemical,Mustard
72,60,25,18.52510753,69.0276233,5.773454729,88.10234397,Loamy,Winter,South,Drip,Mixed,Chickpea
67,51,24,23.50297882,61.32026065,5.584171461,64.77791424,Silty,Winter,East,Drip,Chemical,Barley
86,36,24,26.54986394,72.89187265,5.787268394,73.33636055,Silty,Winter,South,Rainfed,Organic,Pineapple
76,48,18,19.29563411,69.63481219,5.77597783,83.21030571,Clay,Summer,West,Canal,Chemical,Pulses
75,53,18,20.68899915,59.4375337,6.864793607,103.651438,Loamy,Summer,South,Drip,Chemical,Maize
81,45,23,19.32666088,68.034493,6.192360003,84.22969177,Silty,Rainy,North,Rainfed,Organic,Wheat
73,45,21,24.60532218,73.58868502,6.636803223,96.59195302,Sandy,Summer,West,Canal,Chemical,Coconut
71,35,24,22.27373646,59.52193158,5.826426917,67.96704792,Sandy,Summer,North,Rainfed,Mixed,Jute
96,54,22,25.70196694,61.33450447,6.960358276,83.20711308,Clay,Rainy,East,Rainfed,Organic,Mango
99,39,18,19.20129357,68.30578978,6.11275104,87.85092352,Silty,Rainy,North,Canal,Mixed,Chickpea
62,48,20,21.70181447,60.47470519,6.708446922,95.71388473,Loamy,Rainy,North,Drip,Organic,Apple
86,37,16,20.51716779,59.21235483,5.561510732,67.61013737,Sandy,Summer,South,Rainfed,Mixed,Sugarcane
94,50,19,23.30355338,73.62548442,5.873242491,97.59081274,Silty,Summer,North,Rainfed,Mixed,Jute
76,39,24,24.2547451,55.64709899,6.995843776,64.23845455,Silty,Rainy,West,Drip,Chemical,Sugarcane
77,52,17,24.86374934,65.7420046,5.714799723,75.82270467,Clay,Winter,West,Drip,Mixed,Sugarcane
74,39,23,22.6265115,65.77472881,6.78073637,88.17251033,Sandy,Rainy,East,Canal,Chemical,Sunflower
81,49,20,18.04185513,60.61494304,5.513697923,104.2321615,Sandy,Winter,West,Canal,Organic,Wheat
63,42,21,23.26237612,72.33125523,5.798423908,67.10225139,Loamy,Winter,South,Canal,Mixed,Tea
99,38,21,22.88330922,71.59722446,6.352471866,67.72777298,Sandy,Rainy,East,Drip,Mixed,Groundnut
90,52,25,25.97482359,69.36385721,6.822586546,103.2234212,Loamy,Rainy,West,Rainfed,Organic,Coffee
68,40,19,26.14384005,66.20569924,6.655426355,107.2361366,Sandy,Rainy,South,Rainfed,Organic,Maize
60,57,24,18.66116213,61.55327249,6.121294041,75.03247667,Clay,Summer,West,Canal,Mixed,Wheat
71,52,18,25.10787449,55.97732754,5.790770203,78.16077693,Sandy,Winter,West,Drip,Organic,Grapes
61,59,17,23.33844615,59.24580604,6.47444292,105.0083144,Loamy,Summer,North,Rainfed,Chemical,Maize
88,38,15,25.08239719,65.92195844,6.455116637,62.49190812,Loamy,Summer,West,Canal,Organic,Maize
65,60,22,25.36768364,72.52054555,6.606984086,107.9124111,Clay,Rainy,West,Rainfed,Organic,Turmeric
78,37,22,25.34217103,63.31801994,6.330554389,74.52082026,Sandy,Summer,South,Rainfed,Mixed,Mustard
78,58,15,25.00933355,67.816568,6.528631266,62.91359494,Sandy,Rainy,South,Drip,Chemical,Banana
92,60,23,18.66746724,71.516474,5.721667141,69.93293255,Clay,Winter,North,Drip,Organic,Groundnut
79,59,17,20.37999665,63.73849998,6.644205485,108.5054416,Sandy,Rainy,West,Rainfed,Chemical,Cabbage
91,55,15,18.09300227,72.61024172,6.376651091,78.96159541,Sandy,Summer,North,Canal,Chemical,Rice
76,51,18,26.16985907,71.96246617,6.247040422,79.84925393,Loamy,Summer,West,Drip,Chemical,Maize
87,48,25,18.65396672,61.37879671,6.656730008,93.62039175,Sandy,Rainy,East,Rainfed,Mixed,Rice
71,60,22,26.07470121,59.37147589,6.2048017,85.75692395,Sandy,Rainy,East,Drip,Organic,Groundnut
90,57,24,18.92851916,72.80086137,6.158860284,82.34162918,Clay,Summer,North,Drip,Mixed,Pepper
67,35,22,23.30546753,63.24648023,6.385684214,108.7603001,Clay,Winter,North,Drip,Organic,Pineapple
60,54,19,18.74826712,62.49878458,6.417820493,70.23401597,Silty,Winter,North,Rainfed,Organic,Sunflower
83,58,23,19.74213321,59.66263104,6.381201909,65.50861389,Loamy,Rainy,South,Canal,Mixed,Apple
83,57,19,25.73044432,70.74739256,6.877869005,98.73771338,Sandy,Winter,South,Canal,Chemical,Barley
40,72,77,17.02498456,16.98861173,7.485996067,88.55123143,Sandy,Summer,South,Canal,Chemical,Cotton
23,72,84,19.02061277,17.13159126,6.920251378,79.92698081,Silty,Rainy,North,Drip,Organic,Coffee
39,58,85,17.88776475,15.40589717,5.996932037,68.54932919,Sandy,Summer,West,Rainfed,Mixed,Cotton
22,72,85,18.86805647,15.65809214,6.391173589,88.51048983,Loamy,Summer,East,Drip,Chemical,Maize
36,67,77,18.36952567,19.56381041,7.152811172,79.26357665,Silty,Winter,North,Canal,Chemical,Onion
32,73,81,20.45078582,15.40312102,5.988992796,92.68373702,Loamy,Rainy,South,Canal,Organic,Barley
58,70,84,20.6543203,16.60820843,6.231049028,74.6631118,Silty,Rainy,South,Rainfed,Organic,Chickpea
59,70,84,17.3348681,18.74926979,7.550808267,82.61734721,Silty,Winter,North,Drip,Mixed,Mango
42,62,75,18.17912258,18.90426935,7.010570541,81.84997529,Clay,Summer,North,Canal,Organic,Maize
28,74,81,18.01272266,18.30968112,8.753795334,81.98568791,Loamy,Summer,South,Rainfed,Chemical,Maize
58,66,79,20.99373558,19.33470387,8.718192847,93.55280105,Sandy,Summer,West,Drip,Chemical,Mango
43,66,79,19.46233971,15.22538951,7.976607593,74.58565097,Sandy,Summer,South,Drip,Chemical,Onion
58,63,81,19.81344531,14.69765308,6.515499549,78.96514709,Loamy,Rainy,South,Canal,Chemical,Potato
23,62,85,18.97424756,19.5161216,8.490127142,80.7108745,Sandy,Rainy,North,Canal,Mixed,Pepper
27,62,77,18.19737048,14.71070537,6.576415562,70.18185181,Sandy,Winter,West,Drip,Mixed,Onion
28,72,84,18.72963144,19.18197264,6.481783043,71.58010169,Loamy,Winter,South,Drip,Organic,Sugarcane
50,56,76,20.99502153,19.8601304,7.966605025,73.50734019,Silty,Rainy,South,Canal,Organic,Millet
39,71,84,20.28155898,16.39535215,8.140825437,82.52339655,Loamy,Rainy,East,Drip,Organic,Apple
25,78,76,17.48042641,15.7559405,7.228963452,66.96980581,Silty,Summer,North,Canal,Mixed,Potato
31,70,77,20.88818675,14.32313811,6.492546046,90.46228334,Sandy,Summer,East,Drip,Chemical,Orange
26,80,83,17.08498521,16.14565756,7.528599957,71.31007253,Sandy,Winter,East,Canal,Organic,Apple
25,68,77,20.09340593,15.11279612,7.701446446,85.74904898,Sandy,Rainy,South,Rainfed,Chemical,Cardamom
31,78,76,17.57212145,14.99927489,8.519975748,89.31050665,Clay,Winter,North,Canal,Organic,Groundnut
60,68,83,19.12065218,18.43475844,6.620900869,85.52950164,Silty,Rainy,West,Canal,Organic,Millet
59,62,83,18.57665902,19.22008229,8.104396058,72.94940441,Clay,Summer,South,Rainfed,Organic,Soybean
22,67,78,17.16606398,14.42457525,6.204090835,72.32667516,Clay,Winter,West,Drip,Organic,Jute
36,65,80,18.2872007,16.67921616,6.051091339,74.87445574,Loamy,Winter,West,Rainfed,Organic,Millet
59,60,84,19.03025305,18.66725565,7.690962338,94.70992037,Clay,Rainy,North,Canal,Chemical,Wheat
54,77,85,17.1418614,17.0662427,7.829211144,83.74606679,Loamy,Summer,East,Drip,Organic,Maize
43,68,81,17.47809436,17.93253975,6.761599706,78.92060234,Loamy,Winter,North,Rainfed,Chemical,Sunflower
28,76,82,20.56601874,14.25803981,6.654425315,83.75937135,Clay,Summer,West,Drip,Mixed,Groundnut
42,79,85,17.22385224,15.82069268,6.129533877,76.57580954,Silty,Winter,South,Drip,Organic,Cotton
32,60,83,19.69141713,19.44225438,8.829273328,91.76071648,Silty,Summer,West,Rainfed,Chemical,Orange
22,78,76,17.84851658,19.09172907,8.621662982,76.32470713,Silty,Rainy,South,Drip,Mixed,Wheat
31,79,75,18.8202251,16.1074793,8.204862075,89.73119396,Silty,Winter,South,Rainfed,Mixed,Pulses
28,58,81,17.47500984,16.54314829,6.18042747,93.35034262,Silty,Winter,North,Canal,Mixed,Coffee
57,58,77,18.72649425,17.58406365,7.978996755,81.20176515,Clay,Summer,West,Drip,Chemical,Cabbage
49,55,78,18.65580107,16.17772668,7.863113671,81.70769297,Clay,Summer,East,Canal,Organic,Cardamom
46,76,77,18.2356751,19.68538502,6.967843048,83.74879344,Sandy,Winter,West,Canal,Organic,Tomato
54,61,77,18.81198127,15.21618225,6.206582193,77.5429424,Silty,Rainy,West,Drip,Chemical,Rice
38,60,76,18.65054116,17.80852431,8.868741443,77.92798682,Clay,Summer,East,Rainfed,Organic,Millet
59,55,79,20.36720401,16.89574311,8.766128654,82.2545577,Sandy,Summer,North,Drip,Chemical,Mustard
36,76,75,18.38120357,16.63805158,8.736337905,70.52056697,Silty,Summer,West,Canal,Organic,Onion
57,68,81,17.17012591,17.30457712,8.081095263,72.78624223,Loamy,Winter,West,Canal,Mixed,Maize
35,66,81,19.37101121,15.77458129,6.138243973,85.24819851,Sandy,Winter,South,Rainfed,Organic,Turmeric
35,64,78,17.92845928,14.27327988,7.496645259,85.37378769,Clay,Winter,West,Drip,Chemical,Coffee
52,60,79,19.45339934,18.23490739,8.380185271,75.6317566,Loamy,Winter,East,Canal,Chemical,Pulses
27,76,83,19.12829388,14.92241479,6.289614016,89.61857826,Loamy,Rainy,South,Canal,Mixed,Millet
57,60,84,19.1034283,17.26184541,6.586777189,75.49101167,Loamy,Rainy,North,Canal,Chemical,Tomato
52,68,78,17.48504075,16.96070581,6.89655198,86.05078037,Sandy,Winter,South,Rainfed,Organic,Groundnut
43,79,79,19.40751744,18.98030507,7.806747656,80.25064637,Clay,Rainy,East,Canal,Organic,Pineapple
44,74,85,20.18649426,19.63719995,7.150681303,78.26039559,Loamy,Summer,East,Canal,Mixed,Maize
24,55,78,17.30287885,15.15405941,6.64919573,75.57790384,Silty,Summer,South,Drip,Chemical,Sunflower
